,Date,Close/Last,Volume,Open,High,Low
71,11/07/2022,$197.08,"93,916,520",$208.65,$208.9,$196.66
72,11/04/2022,$207.47,"98,622,210",$222.6,$223.8,$203.08
73,11/03/2022,$215.31,"56,538,850",$211.36,$221.2,$210.14
74,11/02/2022,$214.98,"63,070,290",$226.04,$227.8699,$214.82
75,11/01/2022,$227.82,"62,688,820",$234.05,$237.3951,$227.28
77,10/31/2022,$227.54,"61,554,340",$226.19,$229.85,$221.94
78,10/28/2022,$228.52,"69,152,390",$225.4,$228.86,$216.35
79,10/27/2022,$225.09,"61,638,820",$229.77,$233.81,$222.85
80,10/26/2022,$224.64,"85,327,080",$219.4,$230.6,$218.2
81,10/25/2022,$222.415,"96,507,870",$210.1,$224.3498,$210
82,10/24/2022,$211.25,"100,446,800",$205.82,$213.5,$198.5863
83,10/21/2022,$214.44,"75,713,750",$206.415,$214.66,$203.8
84,10/20/2022,$207.28,"117,798,100",$208.28,$215.55,$202
85,10/19/2022,$222.04,"66,571,480",$219.8,$222.93,$217.78
86,10/18/2022,$220.19,"75,891,910",$229.5,$229.82,$217.25
87,10/17/2022,$219.35,"79,428,810",$210.04,$221.86,$209.45
88,10/14/2022,$204.99,"94,124,510",$224.01,$226.26,$204.16
89,10/13/2022,$221.72,"91,483,050",$208.3,$222.99,$206.22
90,10/12/2022,$217.24,"66,860,700",$215.33,$219.2999,$211.51
91,10/11/2022,$216.5,"77,013,200",$220.945,$225.75,$215
92,10/10/2022,$222.96,"67,925,020",$223.93,$226.99,$218.3582
93,10/07/2022,$223.07,"83,916,800",$233.935,$234.5715,$222.02
94,10/06/2022,$238.13,"69,298,440",$239.44,$244.58,$235.35
96,10/05/2022,$240.81,"86,982,670",$245.01,$246.6697,$233.27
97,10/04/2022,$249.44,"109,578,500",$250.52,$257.5,$242.01
98,10/03/2022,$242.4,"98,363,540",$254.5,$255.16,$241.01
99,09/30/2022,$265.25,"67,726,600",$266.145,$275.57,$262.47
100,09/29/2022,$268.21,"77,620,640",$282.76,$283.65,$265.78
101,09/28/2022,$287.81,"54,664,810",$283.08,$289,$277.57
102,09/27/2022,$282.94,"61,925,190",$283.84,$288.67,$277.51
103,09/26/2022,$276.01,"58,076,910",$271.83,$284.09,$270.31
104,09/23/2022,$275.33,"63,748,360",$283.09,$284.5,$272.82
105,09/22/2022,$288.59,"70,545,410",$299.86,$301.29,$285.82
106,09/21/2022,$300.8,"62,555,660",$308.29,$313.8,$300.63
107,09/20/2022,$308.73,"61,642,780",$306.91,$313.33,$305.58
108,09/19/2022,$309.07,"60,231,160",$300.09,$309.84,$297.8
109,09/16/2022,$303.35,"87,087,790",$299.605,$303.71,$295.6005
110,09/15/2022,$303.75,"64,795,520",$301.825,$309.12,$300.7247
111,09/14/2022,$302.61,"72,628,650",$292.24,$306,$291.64
112,09/13/2022,$292.13,"68,229,620",$292.9,$297.3999,$290.4
113,09/12/2022,$304.42,"48,674,600",$300.72,$305.49,$300.4
115,09/09/2022,$299.68,"54,470,850",$291.67,$299.85,$291.245
116,09/08/2022,$289.26,"53,713,120",$281.3,$289.5,$279.76
117,09/07/2022,$283.7,"50,028,920",$273.1,$283.84,$272.27
118,09/06/2022,$274.42,"55,859,980",$272.675,$275.99,$265.74
119,09/02/2022,$270.21,"50,890,090",$281.065,$282.35,$269.08
120,09/01/2022,$277.16,"54,287,020",$272.575,$277.58,$266.15
121,08/31/2022,$275.61,"52,107,340",$280.62,$281.25,$271.81
122,08/30/2022,$277.7,"50,541,760",$287.865,$288.48,$272.65
123,08/29/2022,$284.82,"41,864,740",$282.83,$287.74,$280.7
124,08/26/2022,$288.09,"57,163,950",$297.43,$302,$287.47
125,08/25/2022,$296.07,"53,230,010",$302.36,$302.96,$291.6
126,08/24/2022,$297.0966,"57,259,716",$297.5633,$303.6466,$296.5
127,08/23/2022,$296.4533,"63,985,056",$291.4533,$298.8266,$287.9233
128,08/22/2022,$289.9133,"55,843,356",$291.9133,$292.4,$286.2966
129,08/19/2022,$296.6666,"61,395,396",$299,$300.36,$292.5
130,08/18/2022,$302.87,"47,500,535",$306,$306.5,$301.8533
131,08/17/2022,$303.9966,"68,765,977",$303.3966,$309.6566,$300.0333
132,08/16/2022,$306.5633,"88,136,319",$311.6666,$314.6666,$302.8833
134,08/15/2022,$309.32,"89,359,179",$301.7866,$313.1333,$301.23
